dept,full name,short name,degree type
THTR,Theater BFA Major,Acting,BFA
THTR,Theater Minor,Theater,Minor
THTR,Theater Production-Design Minor,Theater Production and Design,Minor
THTR,Dance BA Major,Dance BA,BA
THTR,Dance BFA Major,Dance BFA,BFA
WRIT,Professional Writing Minor,Professional Writing,Minor
CH E,CHE,Chemical Engineering,BS
ECE,CE,Computer Engineering,BS
CMPSC,CS,Computer Science,BS
ECE,EE,Electrical Engineering,BS
ME,ME,Mechanical Engineering,BS
end,,,
